"分类学范围","记录数","百分比"
"SPECIES","4203","97.00"
"SUBSPECIES","68","1.57"
"GENUS","39","0.90"
"FORM","17","0.39"
"VARIETY","5","0.12"
"FAMILY","1","0.02"
