"学名","汉语名","英名","西班牙名","记录数","百分比"
"Lonchura punctulata","斑文鸟","Scaly-breasted Munia","Capuchino punteado","16","0.38"
"Motacilla cinerea","灰鹡鸰","Grey Wagtail","Lavandera cascadeña","16","0.38"
"Chalcophaps indica","绿翅金鸠","Common Emerald Dove","Palomita esmeralda cabecigrís","16","0.38"
"Aethopyga gouldiae","蓝喉太阳鸟","Mrs. Gould's Sunbird","Suimanga de Gould","15","0.36"
"Pomatorhinus ruficollis","棕颈钩嘴鹛","Streak-breasted Scimitar Babbler","Cimitarra cuellirrufa","15","0.36"
"Ardea cinerea","苍鹭","Grey Heron","Garza real","15","0.36"
"Pycnonotus flavescens","黄绿鹎","Flavescent Bulbul","Bulbul amarillento","15","0.36"
"Pycnonotus cafer","黑喉红臀鹎","Red-vented Bulbul","Bulbul cafre","15","0.36"
"Porphyrio porphyrio","西紫水鸡","Western Swamphen","Calamón común","15","0.36"
"Alcippe dubia",NULL,NULL,NULL,"14","0.33"
"Garrulax leucolophus","白冠噪鹛","White-crested Laughingthrush","Charlatán crestiblanco","14","0.33"
"Eumyias thalassinus","铜蓝鹟","Verditer Flycatcher","Papamoscas verdín","14","0.33"
"Minla ignotincta","火尾希鹛","Red-tailed Minla","Minla colirroja","14","0.33"
"Alcippe fratercula","云南雀鹛","Yunnan Fulvetta","Fulveta de Yunnan","14","0.33"
"Cecropis daurica","金腰燕","Red-rumped Swallow","Golondrina dáurica","13","0.31"
"Pteruthius aeralatus","红翅鵙鹛","White-browed Shrike-babbler","Vireo alcaudón cejiblanco","13","0.31"
"Aegithalos concinnus","红头长尾山雀","Black-throated Bushtit","Mito gorjinegro común","13","0.31"
"Coturnix coturnix","西鹌鹑","Common Quail","Codorniz común","13","0.31"
"Niltava grandis","大仙鹟","Large Niltava","Papamoscas grande","13","0.31"
"Anthus hodgsoni","树鹨","Olive-backed Pipit","Bisbita de Hodgson","13","0.31"
"Alophoixus flaveolus","黄腹冠鹎","White-throated Bulbul","Bulbul frentigrís","13","0.31"
"Psilopogon haemacephalus","赤胸拟啄木鸟","Coppersmith Barbet","Barbudo calderero","12","0.29"
"Parus spilonotus",NULL,NULL,NULL,"12","0.29"
"Tarsiger rufilatus","蓝眉林鸲","Himalayan Bluetail","Ruiseñor del Himalaya","12","0.29"
"Minla cyanouroptera",NULL,NULL,NULL,"12","0.29"
"Chaimarrornis leucocephalus",NULL,NULL,NULL,"12","0.29"
"Amaurornis phoenicurus","白胸苦恶鸟","White-breasted Waterhen","Gallineta pechiblanca","12","0.29"
"Rhipidura albicollis","白喉扇尾鹟","White-throated Fantail","Abanico gorjiblanco","12","0.29"
"Chloropsis moluccensis","蓝翅叶鹎","Blue-winged Leafbird","Verdín aliazul","12","0.29"
"Serilophus lunatus","银胸丝冠鸟","Silver-breasted Broadbill","Eurilaimo pechoplata","12","0.29"
"Sitta yunnanensis","滇䴓","Yunnan Nuthatch","Trepador de Yunnan","12","0.29"
"Treron phayrei","灰头绿鸠","Ashy-headed Green Pigeon","Vinago del Himalaya","12","0.29"
"Garrulax bieti",NULL,NULL,NULL,"12","0.29"
"Trochalopteron milnei","赤尾噪鹛","Red-tailed Laughingthrush","Charlatán colirrojo","12","0.29"
"Elanus caeruleus","黑翅鸢","Black-winged Kite","Elanio común","11","0.26"
"Erpornis zantholeuca","白腹凤鹛","White-bellied Erpornis","Yuhina ventriblanca","11","0.26"
"Alcedo atthis","普通翠鸟","Common Kingfisher","Martín pescador común","11","0.26"
"Alcippe poioicephala","褐脸雀鹛","Brown-cheeked Fulvetta","Fulveta cariparda","11","0.26"
